X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1946101.4655,5660784.554,168,Putorino,ChargeNet NZ,Unison Networks Limited,"5464 State Highway 2, Putorino 4181, NZ",True,1,False,Unlimited,False,-39.133366,177.003793,Mixed,2018/06/05 00:00:00+00,3,"{DC, 50 kW, Type 2 CCS, Status: Unknown, Count:1},{DC, 50 kW, CHAdeMO, Status: Unknown, Count:1},{AC, 22 kW, Type 2 Socketed, Status: Unknown, Count:1}",True
1913160.1046,5657602.2305,169,McVicar Rd,ChargeNet NZ,Unison Networks Limited,"4237 State Highway 5, Te Haroto 4182, New Zealand",True,1,False,Unlimited,False,-39.174447,176.624938,Mixed,2017/07/05 00:00:00+00,3,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True
1807498.0186,5660784.5833,170,National Park,ChargeNet NZ,ChargeNet NZ,"Cnr SH4 & Waimarino Tokaanu Road, National Park 3989, NZ",True,1,False,Unlimited,False,-39.177432,175.402147,DC,2018/06/21 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1806608.1908,5634164.6611,171,Ohakune,ChargeNet NZ,ChargeNet NZ,"30 Ayr St, Ohakune 4625, NZ",True,1,False,Unlimited,False,-39.417303,175.400028,DC,2018/11/09 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1674027.852,5632450.2765,172,Opunake,ChargeNet NZ,ChargeNet NZ,"23 Napier St, Opunake 4616, NZ",True,1,False,Unlimited,False,-39.454334,173.86043,DC,2018/09/04 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1829609.8294,5626411.6359,173,Waiouru,ChargeNet NZ,ChargeNet NZ,"State Highway 1, Waiouru 4861, New Zealand",True,1,False,Unlimited,False,-39.48127,175.66963,DC,2017/06/05 00:00:00+00,4,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:2},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2}",True
1936677.7863,5621249.018,174,Napier,ChargeNet NZ,Unison Networks Limited,"206 Dickens St, Napier 4110, New Zealand",True,1,False,Unlimited,False,-39.492478,176.914804,DC,2016/11/22 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1931955.3509,5617760.1393,175,Greenmeadows,ChargeNet NZ,ChargeNet NZ,"9 Gloucester St, Napier 4112, New Zealand",True,1,False,Unlimited,False,-39.525678,176.861749,DC,2019/09/03 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1710173.818,5616801.8629,176,Hawera,ChargeNet NZ,ChargeNet NZ,"54 Princes St, Hawera 4610, New Zealand",True,1,False,Unlimited,False,-39.591433,174.283066,DC,2018/03/22 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1929860.1532,5605040.5403,177,Hastings,ChargeNet NZ,Unison Networks Limited,"100 Queen St W, Hastings 4122, New Zealand",True,1,False,Unlimited,False,-39.640836,176.843748,DC,2016/09/28 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
